jobName,jobCategory,education,city,releaseDate,jobCity,experience,salary,jobDesc,url,sourceCn,jobId,jobUrl,sourceName,salary_mid,exp_min,exp_max
综合采购,供应链管理员,统招本科,上海,2026-07-01,上海,3年以上,15-20k·16薪,职位介绍                职位描述：1、负责公司it及行政品类采购，主要为IT服务、硬件及软件、行政物品服务等，提供良好的解决方案，不断优化采购成本；2、品类策略管理：根据业务规划及项目需求，制定品类采购策略、战略寻源、供应商管理、关键项目计划及时满足业务需要，不断优化采购业务，提升采购绩效；3、采购流程管理：执行并管理所负责采购品类，独立负责从项目寻源-招标选择-合同签署-落地执行监督的全流程， 并与相关部门保持同步协作，整合采购需求，并对需求进行有效分析及评估，有效管理采购成本，提高使用效能；4、供应资源丰富：针对各品类定期分析采购市场行情，熟悉采购品类的供应渠道和市场变化情况，确保供需，负责采购价格的控制工作，确保成本优势，供应商资源的丰富性，确保各项指标达成。有效扩展海外资源；5、建立与跨团队关联方有效的协同机制，保障业务有序顺畅开展。职位要求：1、本科以上学历，6年以上采购经验，3年以上互联网大型企业采购工作经验，有独立的品类管理能力； 2、具备IT品类、行政服务采购经验，熟悉所涉及产品及服务的市场价格体系和供应渠道、对于新技术前沿有重点关注；有英文交流能力，有海外业务经验优先；3、具有优秀的业务统筹规划和管理能力，能制定和管理品类采购策略与流程，包含需求整合，采购模式及渠道确定，交付效率提升及采购成本管控等；5、具备良好的逻辑/数据分析、谈判、解决问题能力，思路清晰，考虑问题细致；6、工作认真、积极主动，责任心强，有良好的团队合作精神，善于跨部门协作，有良好的沟通技巧。                                                            其他信息                                        行业要求：全部行业,https://www.liepin.com/job/1979757143.shtml,猎聘网,7d6a6b6437d36ae619c026750a32ab00,https://www.liepin.com/job/1979757143.shtml,猎聘网,17.5,3.0,3.0
招聘HR-无限暖暖,其他,本科以上,上海,2026-06-30,上海,1-3年,,,https://www.jobui.com/job/310087378/,职友集,4200e4ef9dbe20b0cbf880aee79b6986,https://www.jobui.com/job/310087378/,职友集,,1.0,3.0
3D特效-二次元（A146376）,其他,本科以上,上海,2026-06-30,上海,3-5年,,,https://www.jobui.com/job/337372664/,职友集,c0ef94e85cbf33d43fdd6061fed2317d,https://www.jobui.com/job/337372664/,职友集,,3.0,5.0
AI玩具工业设计,技术开发,本科,上海,2026-06-30,上海,3-5年,25-50k·16薪,职位介绍                1. 岗位职责（我们希望你搞定的事）- 负责 AI 陪伴产品的工业设计，主导在“外观先行”逻辑下的硬件堆叠方案，确保电子件不破坏产品的亲和力。- 负责从设计样机到工程样机的转化，输出可量产的3D工程图纸，并兼顾模具成本与组装良率。- 平衡“极致美学”与“项目排期、BOM 成本”之间的冲突，具备在 1mm 空间内极限抠方案的韧性。- 深度参与多材质（特种织物、柔性硅胶、精密金属）的选型，对接供应商并实地解决试产中的工艺偏差。2. 任职要求（我们希望你具备的“超能力”）- 本科及以上学历，工业设计、产品设计、机械电子等相关专业，有丰富创客经验者可放宽学历。- 拥有 2 年以上硬件产品经理工作经验，具备至少一款消费级电子产品的量产交付经验。- 熟练使用 Rhino及 Creo/SolidWorks/Fusion 360中的至少两款，能处理高难度的曲面建模，能输出0.1mm 级精度的量产级模型。- 3D 打印资深玩家：  - 材料：熟悉 TPU（不同邵氏硬度）、尼龙、碳纤维等高性能长丝的打印特性及收缩率补偿；  - 结构：能利用 3D 打印实现微型减速电机的“打印即装配”（Print-in-Place）及机械联动；  - 手工：具备基础的缝纫技能，能独立完成毛绒外皮与 3D 打印内部支架的“首个手办级”组装。- 熟练掌握 TPU、尼龙、碳纤维、类橡胶等特殊材料的打印特性，能通过 3D 打印实现机械联动结构，具备基础的缝纫/手工能力。- 精通注塑、压铸、缝纫、CNC 等主流加工工艺，对 PCB 布局、天线净空、电池散热等硬件常识有系统理解。- 具备出色的沟通能力，能在坚持设计美学的同时，通过技术方案的微调与工程师达成最优解。3. 加分项- 拥有自己的多色打印改机经验，熟悉 AI 辅助生成晶格结构实现轻量化。- 有熟悉的精密模具、特种织物或微型电机代工厂资源。- 对“陪伴感”和“潮玩文化”有深度研究，能从用户心理角度定义产品的触感反馈逻辑。                                                            其他信息                                        行业要求：全部行业,https://www.liepin.com/job/1980791593.shtml,猎聘网,f38db49bfe91ffac126a4a3d4bc01d6b,https://www.liepin.com/job/1980791593.shtml,猎聘网,37.5,3.0,5.0
资深平台产品经理（A140568）,其他,本科以上,上海,2026-06-28,上海,不限经验,,,https://www.jobui.com/job/335228363/,职友集,4e58224c4ed3e8d2a5a71ab3fc61d07d,https://www.jobui.com/job/335228363/,职友集,,,
模型部署工程师（A163492）,技术开发,本科以上,上海,2026-06-28,上海,3-5年,,,https://www.jobui.com/job/337266344/,职友集,87867aca3759bf4b447cb416d4b0542a,https://www.jobui.com/job/337266344/,职友集,,3.0,5.0
供应商管理(A29953),供应链管理员,统招本科,上海,2026-06-25,上海,2年以上,15-25k·16薪,职位介绍                职位描述：1、负责游戏研发、营销、综合等全品类全球供应商的开发、准入、维护和汰换等全生命周期的管理工作；2、负责供应商绩效考核体系建设，完善供应商评价体系及标准，监督对供应商的考评、奖惩落实，制定相应的管理措施和合作策略；3、负责供应商风险模块搭建，跟踪和监督供应商绩效改进计划的执行情况，持续优化和控制供应商选择和合作风险，及时解决供应商的问题和纠纷；4、建立并持续优化供应商管理系统，搭建专业化管理工具，提升效率、降低风险，为采购业务赋能。职位要求：1、本科及以上学历，供应链管理、采购管理或相关专业背景优先；2、拥有2年以上供应商管理经验，对供应商管理、品类管理、价格管理和采购风险等具备体系化的理解；3、熟悉供应商管理的各个环节和流程，主导过0-1体系建设或多品类管理经验者优先；4、逻辑思维清晰，做事细心，有强烈的责任感，并具备优秀的沟通表达能力；5、具备英语商务谈判能力，同时拥有其他外语能力更佳。                                                            其他信息                                        行业要求：全部行业,https://www.liepin.com/job/1982574199.shtml,猎聘网,695eebc815741aa83fe85d25f28f3ce1,https://www.liepin.com/job/1982574199.shtml,猎聘网,20.0,2.0,2.0
3D特效-星叠,其他,大专以上,上海,2026-06-24,上海,5-10年,,,https://www.jobui.com/job/336998726/,职友集,11f14c914a9ddbed7f933fde02a4b0c8,https://www.jobui.com/job/336998726/,职友集,,5.0,10.0
资深日区市场策划,其他,统招本科,上海,2026-06-24,上海,5年以上,25-45k·16薪,职位介绍                职位描述1. 负责公司游戏产品在日本地区的整体推广及线上线下市场活动策划；2. 负责游戏在日本地区发行的文案、图片等内容素材创意；3. 将策划方案转化为具体的执行方案，负责执行跟进，成效评估，数据分析总结；4. 协调维护公司以及海外渠道商、供应商的关系，确保合作关系的良好进展。职位要求1. 本科及以上学历，有5年以上游戏行业市场相关工作经验；2. 热爱女性向游戏，对女性向游戏产品和用户生态有深入了解；3. 精通日语，有日本生活、工作、留学经验；4. 具有良好的沟通能力和合作能力，能够高效完成各项工作。                                                            其他信息                                        行业要求：全部行业                    所属部门：发行,https://www.liepin.com/job/1980414411.shtml,猎聘网,f1f5c6ad204a8c1a25803a0bd8fd652a,https://www.liepin.com/job/1980414411.shtml,猎聘网,35.0,5.0,5.0
IT采购负责人,供应链管理员,统招本科,上海,2026-06-22,上海,5年以上,20-40k·16薪,职位介绍                职位描述1、根据公司整体战略目标，制定IT品类（核心云服务、硬件、软件等）1~3年管理策略并负责有效落地；​2、对IT品类的外部市场、行业趋势、竞争态势进行追踪和分析，识别1~3年降本增效机会点和供应风险；​3、运用专业的采购方法完成IT品类端到端战略寻源，优化总成本，提升业务效率；​4、建立IT品类供应商管理体系，维护供应商关系，识别和营造中长期共赢机会与环境；​5、提升采购职能价值，并建立与跨团队关联方有效的协同机制，保障业务有序顺畅开展；​6、深入业务部门和分子公司，实时了解业务动态。早期介入业务方案设计和评估，前瞻性地为关联方提供高质量综合解决方案，并确保总部品类策略和寻源结果高效落实。职位要求1、本科以上学历，8年以上采购经验，5年以上大型企业IT采购管理工作经验，有独立的IT品类管理能力及团队管理经验； 2、具备IT全品类采购经验，熟悉IT类产品及服务的市场价格体系和供应渠道、对于新技术前沿有重点关注，有云经验优先，英文交流能力；3、具有优秀的业务统筹规划和管理能力，能制定和管理IT品类采购策略与流程，包含需求整合，采购模式及渠道确定，交付效率提升及采购成本管控等；5、具备良好的逻辑/数据分析、谈判、解决问题能力，思路清晰，考虑问题细致；6、工作认真、积极主动，责任心强，有良好的团队合作精神，善于跨部门协作，有良好的沟通技巧。                                                            其他信息                                        行业要求：全部行业,https://www.liepin.com/job/1980253109.shtml,猎聘网,bf8afebcc9d146ac7b8005f3a882f722,https://www.liepin.com/job/1980253109.shtml,猎聘网,30.0,5.0,5.0
